Orijin (2,2) GPS: 40.7710000, 29.9670000
Saha Yönelimi (Sapma): 0.0 Derece
------------------------------------------------------------
Grid (X,Y) | Enlem (Latitude) | Boylam (Longitude)
------------------------------------------------------------
Kese (0,0)  | 40.7709832    | 29.9669778
Kese (1,0)  | 40.7709832    | 29.9669926
Kese (2,0)  | 40.7709832    | 29.9670074
Kese (3,0)  | 40.7709832    | 29.9670222
Kese (4,0)  | 40.7709832    | 29.9670371
Kese (5,0)  | 40.7709832    | 29.9670519
Kese (6,0)  | 40.7709832    | 29.9670667
Kese (7,0)  | 40.7709832    | 29.9670815
Kese (8,0)  | 40.7709832    | 29.9670964
Kese (0,1)  | 40.7709944    | 29.9669778
Kese (1,1)  | 40.7709944    | 29.9669926
Kese (2,1)  | 40.7709944    | 29.9670074
Kese (3,1)  | 40.7709944    | 29.9670222
Kese (4,1)  | 40.7709944    | 29.9670371
Kese (5,1)  | 40.7709944    | 29.9670519
Kese (6,1)  | 40.7709944    | 29.9670667
Kese (7,1)  | 40.7709944    | 29.9670815
Kese (8,1)  | 40.7709944    | 29.9670964
Kese (0,2)  | 40.7710056    | 29.9669778
Kese (1,2)  | 40.7710056    | 29.9669926
Kese (2,2)  | 40.7710056    | 29.9670074
Kese (3,2)  | 40.7710056    | 29.9670222
Kese (4,2)  | 40.7710056    | 29.9670371
Kese (5,2)  | 40.7710056    | 29.9670519
Kese (6,2)  | 40.7710056    | 29.9670667
Kese (7,2)  | 40.7710056    | 29.9670815
Kese (8,2)  | 40.7710056    | 29.9670964
Kese (0,3)  | 40.7710168    | 29.9669778
Kese (1,3)  | 40.7710168    | 29.9669926
Kese (2,3)  | 40.7710168    | 29.9670074
Kese (3,3)  | 40.7710168    | 29.9670222
Kese (4,3)  | 40.7710168    | 29.9670371
Kese (5,3)  | 40.7710168    | 29.9670519
Kese (6,3)  | 40.7710168    | 29.9670667
Kese (7,3)  | 40.7710168    | 29.9670815
Kese (8,3)  | 40.7710168    | 29.9670964
Kese (0,4)  | 40.7710281    | 29.9669778
Kese (1,4)  | 40.7710281    | 29.9669926
Kese (2,4)  | 40.7710281    | 29.9670074
Kese (3,4)  | 40.7710281    | 29.9670222
Kese (4,4)  | 40.7710281    | 29.9670371
Kese (5,4)  | 40.7710281    | 29.9670519
Kese (6,4)  | 40.7710281    | 29.9670667
Kese (7,4)  | 40.7710281    | 29.9670815
Kese (8,4)  | 40.7710281    | 29.9670964
Kese (0,5)  | 40.7710393    | 29.9669778
Kese (1,5)  | 40.7710393    | 29.9669926
Kese (2,5)  | 40.7710393    | 29.9670074
Kese (3,5)  | 40.7710393    | 29.9670222
Kese (4,5)  | 40.7710393    | 29.9670371
Kese (5,5)  | 40.7710393    | 29.9670519
Kese (6,5)  | 40.7710393    | 29.9670667
Kese (7,5)  | 40.7710393    | 29.9670815
Kese (8,5)  | 40.7710393    | 29.9670964
Kese (0,6)  | 40.7710505    | 29.9669778
Kese (1,6)  | 40.7710505    | 29.9669926
Kese (2,6)  | 40.7710505    | 29.9670074
Kese (3,6)  | 40.7710505    | 29.9670222
Kese (4,6)  | 40.7710505    | 29.9670371
Kese (5,6)  | 40.7710505    | 29.9670519
Kese (6,6)  | 40.7710505    | 29.9670667
Kese (7,6)  | 40.7710505    | 29.9670815
Kese (8,6)  | 40.7710505    | 29.9670964
Kese (0,7)  | 40.7710618    | 29.9669778
Kese (1,7)  | 40.7710618    | 29.9669926
Kese (2,7)  | 40.7710618    | 29.9670074
Kese (3,7)  | 40.7710618    | 29.9670222
Kese (4,7)  | 40.7710618    | 29.9670371
Kese (5,7)  | 40.7710618    | 29.9670519
Kese (6,7)  | 40.7710618    | 29.9670667
Kese (7,7)  | 40.7710618    | 29.9670815
Kese (8,7)  | 40.7710618    | 29.9670964
Kese (0,8)  | 40.7710730    | 29.9669778
Kese (1,8)  | 40.7710730    | 29.9669926
Kese (2,8)  | 40.7710730    | 29.9670074
Kese (3,8)  | 40.7710730    | 29.9670222
Kese (4,8)  | 40.7710730    | 29.9670371
Kese (5,8)  | 40.7710730    | 29.9670519
Kese (6,8)  | 40.7710730    | 29.9670667
Kese (7,8)  | 40.7710730    | 29.9670815
Kese (8,8)  | 40.7710730    | 29.9670964
